## gencode.genes
## GENCODE protein coding genes, combined with entrez id's from GENCODE, and combined with Ensembl product description and transcript type from https://www.ensembl.org/biomart
## GRCh37/hg19, date: 2018-03-27, evidence-based annotation of the human genome, version 28 (Ensembl 92), mapped to GRCh37 with gencode-backmap
## PGC bioinformatics, PF Sullivan & Johan Kallberg Zvrskovec, Karolinska Institutet, 2018
## Rows: 5 comments, header, 19724 entries. Columns: 9
#chr	bp1	bp2	geneName	entrez	ensembl	ttype	strand	product
chr22	45809572	45828376	RIBC2	26150	ENSG00000128408.8_3	protein_coding	+	"RIB43A domain with coiled-coils 2 [Source:HGNC Symbol;Acc:HGNC:13241]"
chr17	39775689	39781094	KRT17	3872	ENSG00000128422.15_4	protein_coding	-	"keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]"
chr15	34517200	34522357	EMC4	51234	ENSG00000128463.12_3	protein_coding	+	"ER membrane protein complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:28032]"
chr17	19314438	19320589	RNF112	7732	ENSG00000128482.15_3	protein_coding	+	"ring finger protein 112 [Source:HGNC Symbol;Acc:HGNC:12968]"
chr17	19912657	20222339	SPECC1	92521	ENSG00000128487.16_4	protein_coding	+	"sperm antigen with calponin homology and coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:30615]"
chr7	129932974	129964020	CPA4	51200	ENSG00000128510.10_3	protein_coding	+	"carboxypeptidase A4 [Source:HGNC Symbol;Acc:HGNC:15740]"
chr7	111366166	111846466	DOCK4	.	ENSG00000128512.15	protein_coding	-	"dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]"
chr7	111366166	111846466	DOCK4	9732	ENSG00000128512.15	protein_coding	-	"dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]"
chr7	124462440	124570037	POT1	25913	ENSG00000128513.14_3	protein_coding	-	"protection of telomeres 1 [Source:HGNC Symbol;Acc:HGNC:17284]"
chr7	122634758	122635754	TAS2R16	50833	ENSG00000128519.3_3	protein_coding	-	"taste 2 receptor member 16 [Source:HGNC Symbol;Acc:HGNC:14921]"
chr7	128502880	128505898	ATP6V1F	9296	ENSG00000128524.4_3	protein_coding	+	"ATPase H+ transporting V1 subunit F [Source:HGNC Symbol;Acc:HGNC:16832]"
chr7	117824086	117832878	LSM8	51691	ENSG00000128534.7_3	protein_coding	+	"LSM8 homolog, U6 small nuclear RNA associated [Source:HGNC Symbol;Acc:HGNC:20471]"
chr7	105517242	105674219	CDHR3	222256	ENSG00000128536.15_3	protein_coding	+	"cadherin related family member 3 [Source:HGNC Symbol;Acc:HGNC:26308]"
chr7	102004319	102067123	PRKRIP1	79706	ENSG00000128563.13_3	protein_coding	+	"PRKR interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21894]"
chr7	100805790	100808874	VGF	7425	ENSG00000128564.6_4	protein_coding	-	"VGF nerve growth factor inducible [Source:HGNC Symbol;Acc:HGNC:12684]"
chr7	131185021	131242976	PODXL	5420	ENSG00000128567.16_3	protein_coding	-	"podocalyxin like [Source:HGNC Symbol;Acc:HGNC:9171]"
chr7	113726382	114333827	FOXP2	93986	ENSG00000128573.24_4	protein_coding	+	"forkhead box P2 [Source:HGNC Symbol;Acc:HGNC:13875]"
chr7	129074274	129128240	STRIP2	57464	ENSG00000128578.9_3	protein_coding	+	"striatin interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:22209]"
chr7	100956648	100965104	IFT22	64792	ENSG00000128581.15_3	protein_coding	-	"intraflagellar transport 22 [Source:HGNC Symbol;Acc:HGNC:21895]"
chr7	130794855	131181395	MKLN1	4289	ENSG00000128585.17_3	protein_coding	+	"muskelin 1 [Source:HGNC Symbol;Acc:HGNC:7109]"
chr7	108210012	108215294	DNAJB9	4189	ENSG00000128590.4_3	protein_coding	+	"DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]"
chr7	128470431	128499328	FLNC	2318	ENSG00000128591.15_4	protein_coding	+	"filamin C [Source:HGNC Symbol;Acc:HGNC:3756]"
chr7	127667124	127672160	LRRC4	64101	ENSG00000128594.7_3	protein_coding	-	"leucine rich repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:15586]"
chr7	128379346	128411861	CALU	813	ENSG00000128595.16_4	protein_coding	+	"calumenin [Source:HGNC Symbol;Acc:HGNC:1458]"
chr7	128430811	128462186	CCDC136	64753	ENSG00000128596.16_5	protein_coding	+	"coiled-coil domain containing 136 [Source:HGNC Symbol;Acc:HGNC:22225]"
chr7	128828713	128853386	SMO	6608	ENSG00000128602.9_3	protein_coding	+	"smoothened, frizzled class receptor [Source:HGNC Symbol;Acc:HGNC:11119]"
chr7	128577666	128590089	IRF5	3663	ENSG00000128604.19_4	protein_coding	+	"interferon regulatory factor 5 [Source:HGNC Symbol;Acc:HGNC:6120]"
chr7	102553438	102585396	LRRC17	10234	ENSG00000128606.12_3	protein_coding	+	"leucine rich repeat containing 17 [Source:HGNC Symbol;Acc:HGNC:16895]"
chr7	129710350	129775560	KLHDC10	23008	ENSG00000128607.13_3	protein_coding	+	"kelch domain containing 10 [Source:HGNC Symbol;Acc:HGNC:22194]"
chr7	123177051	123198309	NDUFA5	4698	ENSG00000128609.14_3	protein_coding	-	"NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]"
chr7	121941448	121950745	FEZF1	389549	ENSG00000128610.11_3	protein_coding	-	"FEZ family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:22788]"
chr7	128412545	128415844	OPN1SW	611	ENSG00000128617.2_3	protein_coding	-	"opsin 1, short wave sensitive [Source:HGNC Symbol;Acc:HGNC:1012]"
chr19	39421188	39423802	MRPS12	6183	ENSG00000128626.11_3	protein_coding	+	"mitochondrial ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10380]"
chr2	192109911	192290115	MYO1B	4430	ENSG00000128641.18_4	protein_coding	+	"myosin IB [Source:HGNC Symbol;Acc:HGNC:7596]"
chr2	177053307	177055635	HOXD1	3231	ENSG00000128645.14_3	protein_coding	+	"homeobox D1 [Source:HGNC Symbol;Acc:HGNC:5132]"
chr2	177001340	177037830	HOXD3	3232	ENSG00000128652.11_3	protein_coding	+	"homeobox D3 [Source:HGNC Symbol;Acc:HGNC:5137]"
chr2	177134123	177202753	MTX2	10651	ENSG00000128654.13_3	protein_coding	+	"metaxin 2 [Source:HGNC Symbol;Acc:HGNC:7506]"
chr2	178487980	178937482	PDE11A	50940	ENSG00000128655.17_4	protein_coding	-	"phosphodiesterase 11A [Source:HGNC Symbol;Acc:HGNC:8773]"
chr2	175664091	175870097	CHN1	1123	ENSG00000128656.13_3	protein_coding	-	"chimerin 1 [Source:HGNC Symbol;Acc:HGNC:1943]"
chr2	171669723	171717661	GAD1	2571	ENSG00000128683.13_3	protein_coding	+	"glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]"
chr2	190611386	190627953	OSGEPL1	64172	ENSG00000128694.11_3	protein_coding	-	"O-sialoglycoprotein endopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:23075]"
chr2	190635049	190649097	ORMDL1	94101	ENSG00000128699.13_4	protein_coding	-	"ORMDL sphingolipid biosynthesis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16036]"
chr2	172778958	172848596	HAT1	8520	ENSG00000128708.12_3	protein_coding	+	"histone acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4821]"
chr2	176987448	176989665	HOXD9	3235	ENSG00000128709.12_3	protein_coding	+	"homeobox D9 [Source:HGNC Symbol;Acc:HGNC:5140]"
chr2	176973518	176984670	HOXD10	3236	ENSG00000128710.5_3	protein_coding	+	"homeobox D10 [Source:HGNC Symbol;Acc:HGNC:5133]"
chr2	176968944	176974482	HOXD11	3237	ENSG00000128713.13_3	protein_coding	+	"homeobox D11 [Source:HGNC Symbol;Acc:HGNC:5134]"
chr2	176957619	176960666	HOXD13	3239	ENSG00000128714.5_3	protein_coding	+	"homeobox D13 [Source:HGNC Symbol;Acc:HGNC:5136]"
chr15	28356186	28567298	HERC2	8924	ENSG00000128731.15_3	protein_coding	-	"HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:4868]"
chr15	25068784	25223870	SNRPN	6638	ENSG00000128739.22_4	protein_coding	+	"small nuclear ribonucleoprotein polypeptide N [Source:HGNC Symbol;Acc:HGNC:11164]"
chr18	12658042	12725739	PSMG2	56984	ENSG00000128789.20_3	protein_coding	+	"proteasome assembly chaperone 2 [Source:HGNC Symbol;Acc:HGNC:24929]"
chr18	9334765	9402418	TWSG1	57045	ENSG00000128791.11_3	protein_coding	+	"twisted gastrulation BMP signaling modulator 1 [Source:HGNC Symbol;Acc:HGNC:12429]"
chr10	49654077	49864310	ARHGAP22	58504	ENSG00000128805.14_4	protein_coding	-	"Rho GTPase activating protein 22 [Source:HGNC Symbol;Acc:HGNC:30320]"
chr10	49892921	50191001	WDFY4	57705	ENSG00000128815.19_3	protein_coding	+	"WDFY family member 4 [Source:HGNC Symbol;Acc:HGNC:29323]"
chr15	40226347	40327792	EIF2AK4	440275	ENSG00000128829.11_3	protein_coding	+	"eukaryotic translation initiation factor 2 alpha kinase 4 [Source:HGNC Symbol;Acc:HGNC:19687]"
chr15	52484519	52587995	MYO5C	55930	ENSG00000128833.12_3	protein_coding	-	"myosin VC [Source:HGNC Symbol;Acc:HGNC:7604]"
chr15	57668165	57842925	CGNL1	84952	ENSG00000128849.10_3	protein_coding	+	"cingulin like 1 [Source:HGNC Symbol;Acc:HGNC:25931]"
chr15	52043758	52108565	TMOD2	29767	ENSG00000128872.9_3	protein_coding	+	"tropomodulin 2 [Source:HGNC Symbol;Acc:HGNC:11872]"
chr15	43030932	43213007	TTBK2	146057	ENSG00000128881.16_4	protein_coding	-	"tau tubulin kinase 2 [Source:HGNC Symbol;Acc:HGNC:19141]"
chr15	44064798	44069741	ELL3	80237	ENSG00000128886.11_3	protein_coding	-	"elongation factor for RNA polymerase II 3 [Source:HGNC Symbol;Acc:HGNC:23113]"
chr15	40820882	40857256	C15orf57	90416	ENSG00000128891.15_5	protein_coding	-	"coiled-coil domain containing 32 [Source:HGNC Symbol;Acc:HGNC:28295]"
chr15	41271078	41408552	INO80	54617	ENSG00000128908.15_3	protein_coding	-	"INO80 complex subunit [Source:HGNC Symbol;Acc:HGNC:26956]"
chr15	60711808	60771359	ICE2	79664	ENSG00000128915.11_4	protein_coding	-	"interactor of little elongation complex ELL subunit 2 [Source:HGNC Symbol;Acc:HGNC:29885]"
chr15	41221538	41231270	DLL4	54567	ENSG00000128917.6_3	protein_coding	+	"delta like canonical Notch ligand 4 [Source:HGNC Symbol;Acc:HGNC:2910]"
chr15	58245622	58790065	ALDH1A2	8854	ENSG00000128918.14_3	protein_coding	-	"aldehyde dehydrogenase 1 family member A2 [Source:HGNC Symbol;Acc:HGNC:15472]"
chr15	59063391	59154099	FAM63B	54629	ENSG00000128923.10_4	protein_coding	+	"MINDY lysine 48 deubiquitinase 2 [Source:HGNC Symbol;Acc:HGNC:26954]"
chr15	40697996	40728146	IVD	3712	ENSG00000128928.8_3	protein_coding	+	"isovaleryl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:6186]"
chr15	40674922	40686447	KNSTRN	90417	ENSG00000128944.13_4	protein_coding	+	"kinetochore localized astrin/SPAG5 binding protein [Source:HGNC Symbol;Acc:HGNC:30767]"
chr15	48623208	48635570	DUT	1854	ENSG00000128951.13_4	protein_coding	+	"deoxyuridine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3078]"
chr15	41245160	41248717	CHAC1	79094	ENSG00000128965.11_4	protein_coding	+	"ChaC glutathione specific gamma-glutamylcyclotransferase 1 [Source:HGNC Symbol;Acc:HGNC:28680]"
chr15	68499330	68549549	CLN6	54982	ENSG00000128973.12_3	protein_coding	-	"CLN6, transmembrane ER protein [Source:HGNC Symbol;Acc:HGNC:2077]"
chr15	52839242	52862080	ARPP19	10776	ENSG00000128989.10_3	protein_coding	-	"cAMP regulated phosphoprotein 19 [Source:HGNC Symbol;Acc:HGNC:16967]"
chr15	62144588	62352672	VPS13C	54832	ENSG00000129003.16_4	protein_coding	-	"vacuolar protein sorting 13 homolog C [Source:HGNC Symbol;Acc:HGNC:23594]"
chr15	68483043	68498448	CALML4	91860	ENSG00000129007.14_3	protein_coding	-	"calmodulin like 4 [Source:HGNC Symbol;Acc:HGNC:18445]"
chr15	74466012	74469213	ISLR	3671	ENSG00000129009.12_3	protein_coding	+	"immunoglobulin superfamily containing leucine rich repeat [Source:HGNC Symbol;Acc:HGNC:6133]"
chr15	71173681	71185124	THAP10	56906	ENSG00000129028.8_3	protein_coding	-	"THAP domain containing 10 [Source:HGNC Symbol;Acc:HGNC:23193]"
chr15	74218330	74244478	LOXL1	4016	ENSG00000129038.15_3	protein_coding	+	"lysyl oxidase like 1 [Source:HGNC Symbol;Acc:HGNC:6665]"
chr3	132316081	132337811	ACKR4	51554	ENSG00000129048.6_3	protein_coding	+	"atypical chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:1611]"
chr3	134196548	134205558	ANAPC13	25847	ENSG00000129055.12_3	protein_coding	-	"anaphase promoting complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:24540]"
chr3	129149787	129159022	MBD4	8930	ENSG00000129071.9_3	protein_coding	-	"methyl-CpG binding domain 4, DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:6919]"
chr11	14464986	14521573	COPB1	1315	ENSG00000129083.12_3	protein_coding	-	"coatomer protein complex subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2231]"
chr11	14526420	14665181	PSMA1	5682	ENSG00000129084.17_3	protein_coding	-	"proteasome subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9530]"
chr7	56131695	56148363	SUMF2	25870	ENSG00000129103.17_3	protein_coding	+	"sulfatase modifying factor 2 [Source:HGNC Symbol;Acc:HGNC:20415]"
chr4	169418217	169849608	PALLD	23022	ENSG00000129116.17_3	protein_coding	+	"palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:HGNC:17068]"
chr4	177241115	177253396	SPCS3	60559	ENSG00000129128.12_3	protein_coding	+	"signal peptidase complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26212]"
chr11	27062272	27149356	BBOX1	8424	ENSG00000129151.8_3	protein_coding	+	"gamma-butyrobetaine hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:964]"
chr11	17741115	17743678	MYOD1	4654	ENSG00000129152.3_3	protein_coding	+	"myogenic differentiation 1 [Source:HGNC Symbol;Acc:HGNC:7611]"
chr11	17809595	18034709	SERGEF	26297	ENSG00000129158.10_3	protein_coding	-	"secretion regulating guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:17499]"
chr11	17756321	17878351	KCNC1	3746	ENSG00000129159.7_3	protein_coding	+	"potassium voltage-gated channel subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:6233]"
chr11	18039111	18063973	TPH1	7166	ENSG00000129167.9_3	protein_coding	-	"tryptophan hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:12008]"
chr11	19203577	19232120	CSRP3	8048	ENSG00000129170.8_3	protein_coding	-	"cysteine and glycine rich protein 3 [Source:HGNC Symbol;Acc:HGNC:2472]"
chr11	19245610	19263167	E2F8	79733	ENSG00000129173.12_3	protein_coding	-	"E2F transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24727]"
chr4	183811213	183839089	DCTD	1635	ENSG00000129187.14_4	protein_coding	-	"dCMP deaminase [Source:HGNC Symbol;Acc:HGNC:2710]"
chr17	7491496	7493488	SOX15	6665	ENSG00000129194.7_3	protein_coding	-	"SRY-box 15 [Source:HGNC Symbol;Acc:HGNC:11196]"
chr17	6347735	6354789	FAM64A	54478	ENSG00000129195.15_5	protein_coding	+	"PICALM interacting mitotic regulator [Source:HGNC Symbol;Acc:HGNC:25483]"
chr17	5322961	5336196	RPAIN	84268	ENSG00000129197.14_3	protein_coding	+	"RPA interacting protein [Source:HGNC Symbol;Acc:HGNC:28641]"
chr17	5019733	5078329	USP6	9098	ENSG00000129204.16_3	protein_coding	+	"ubiquitin specific peptidase 6 [Source:HGNC Symbol;Acc:HGNC:12629]"
chr17	7517264	7536701	SHBG	6462	ENSG00000129214.14_5	protein_coding	+	"sex hormone binding globulin [Source:HGNC Symbol;Acc:HGNC:10839]"
chr17	4710391	4726729	PLD2	5338	ENSG00000129219.13_3	protein_coding	+	"phospholipase D2 [Source:HGNC Symbol;Acc:HGNC:9068]"
chr17	6297013	6338519	AIPL1	23746	ENSG00000129221.15_4	protein_coding	-	"aryl hydrocarbon receptor interacting protein like 1 [Source:HGNC Symbol;Acc:HGNC:359]"
chr17	7482785	7485431	CD68	968	ENSG00000129226.13_3	protein_coding	+	"CD68 molecule [Source:HGNC Symbol;Acc:HGNC:1693]"
chr17	6544078	6547861	TXNDC17	84817	ENSG00000129235.10_3	protein_coding	+	"thioredoxin domain containing 17 [Source:HGNC Symbol;Acc:HGNC:28218]"
chr17	7549945	7561086	ATP1B2	482	ENSG00000129244.8_3	protein_coding	+	"ATPase Na+/K+ transporting subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:805]"
chr17	7494548	7518189	FXR2	9513	ENSG00000129245.11_3	protein_coding	-	"FMR1 autosomal homolog 2 [Source:HGNC Symbol;Acc:HGNC:4024]"
chr17	4901243	4931696	KIF1C	10749	ENSG00000129250.11_3	protein_coding	+	"kinesin family member 1C [Source:HGNC Symbol;Acc:HGNC:6317]"
chr17	7486847	7496107	MPDU1	9526	ENSG00000129255.15_3	protein_coding	+	"mannose-P-dolichol utilization defect 1 [Source:HGNC Symbol;Acc:HGNC:7207]"
chr8	133787604	133861052	PHF20L1	51105	ENSG00000129292.20_4	protein_coding	+	"PHD finger protein 20 like 1 [Source:HGNC Symbol;Acc:HGNC:24280]"
chr8	133584201	133687863	LRRC6	23639	ENSG00000129295.8_4	protein_coding	-	"leucine rich repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:16725]"
chr12	49082241	49110781	CCNT1	904	ENSG00000129315.10_3	protein_coding	-	"cyclin T1 [Source:HGNC Symbol;Acc:HGNC:1599]"
chr12	44112796	44152620	PUS7L	83448	ENSG00000129317.14_4	protein_coding	-	"pseudouridylate synthase 7 like [Source:HGNC Symbol;Acc:HGNC:25276]"
chr19	10663754	10676713	KRI1	65095	ENSG00000129347.19_3	protein_coding	-	"KRI1 homolog [Source:HGNC Symbol;Acc:HGNC:25769]"
chr19	10764937	10803093	ILF3	3609	ENSG00000129351.17_4	protein_coding	+	"interleukin enhancer binding factor 3 [Source:HGNC Symbol;Acc:HGNC:6038]"
chr19	10713133	10755235	SLC44A2	57153	ENSG00000129353.14_4	protein_coding	+	"solute carrier family 44 member 2 [Source:HGNC Symbol;Acc:HGNC:17292]"
chr19	10683347	10697991	AP1M2	10053	ENSG00000129354.11_3	protein_coding	-	"adaptor related protein complex 1 mu 2 subunit [Source:HGNC Symbol;Acc:HGNC:558]"
chr19	10677138	10679735	CDKN2D	1032	ENSG00000129355.6_3	protein_coding	-	"cyclin dependent kinase inhibitor 2D [Source:HGNC Symbol;Acc:HGNC:1790]"
chr8	17501304	17658426	MTUS1	57509	ENSG00000129422.14_3	protein_coding	-	"microtubule associated scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:29789]"
chr19	51580752	51587502	KLK14	43847	ENSG00000129437.9_3	protein_coding	-	"kallikrein related peptidase 14 [Source:HGNC Symbol;Acc:HGNC:6362]"
chr19	51628165	51639908	SIGLEC9	27180	ENSG00000129450.8_3	protein_coding	+	"sialic acid binding Ig like lectin 9 [Source:HGNC Symbol;Acc:HGNC:10878]"
chr19	51515995	51523431	KLK10	5655	ENSG00000129451.11_3	protein_coding	-	"kallikrein related peptidase 10 [Source:HGNC Symbol;Acc:HGNC:6358]"
chr19	51499263	51505967	KLK8	11202	ENSG00000129455.15_3	protein_coding	-	"kallikrein related peptidase 8 [Source:HGNC Symbol;Acc:HGNC:6369]"
chr14	23938897	23979071	NGDN	25983	ENSG00000129460.15_5	protein_coding	+	"neuroguidin [Source:HGNC Symbol;Acc:HGNC:20271]"
chr14	24805227	24809251	RIPK3	11035	ENSG00000129465.15_3	protein_coding	-	"receptor interacting serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:10021]"
chr14	24787555	24804299	ADCY4	196883	ENSG00000129467.13_4	protein_coding	-	"adenylate cyclase 4 [Source:HGNC Symbol;Acc:HGNC:235]"
chr14	21927179	21945132	RAB2B	84932	ENSG00000129472.13_3	protein_coding	-	"RAB2B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:20246]"
chr14	23767999	23780968	BCL2L2	599	ENSG00000129473.9_4	protein_coding	+	"BCL2 like 2 [Source:HGNC Symbol;Acc:HGNC:995]"
chr14	23440383	23451851	AJUBA	84962	ENSG00000129474.15_4	protein_coding	-	"ajuba LIM protein [Source:HGNC Symbol;Acc:HGNC:20250]"
chr14	31915242	31926716	DTD2	112487	ENSG00000129480.12_3	protein_coding	-	"D-tyrosyl-tRNA deacylase 2 (putative) [Source:HGNC Symbol;Acc:HGNC:20277]"
chr14	20811741	20826064	PARP2	10038	ENSG00000129484.13_3	protein_coding	+	"poly(ADP-ribose) polymerase 2 [Source:HGNC Symbol;Acc:HGNC:272]"
chr14	31760997	31889788	HEATR5A	25938	ENSG00000129493.14_3	protein_coding	-	"HEAT repeat containing 5A [Source:HGNC Symbol;Acc:HGNC:20276]"
chr14	38059189	38065264	FOXA1	3169	ENSG00000129514.5_3	protein_coding	-	"forkhead box A1 [Source:HGNC Symbol;Acc:HGNC:5021]"
chr14	35030300	35099389	SNX6	58533	ENSG00000129515.18_3	protein_coding	-	"sorting nexin 6 [Source:HGNC Symbol;Acc:HGNC:14970]"
chr14	34985135	35008917	EAPP	55837	ENSG00000129518.8_3	protein_coding	-	"E2F associated phosphoprotein [Source:HGNC Symbol;Acc:HGNC:19312]"
chr14	34393437	34931980	EGLN3	112399	ENSG00000129521.13_3	protein_coding	-	"egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]"
chr14	45672393	45722743	MIS18BP1	55320	ENSG00000129534.13_3	protein_coding	-	"MIS18 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:20190]"
chr14	24549316	24584223	NRL	4901	ENSG00000129535.12_3	protein_coding	-	"neural retina leucine zipper [Source:HGNC Symbol;Acc:HGNC:8002]"
chr14	21269387	21271437	RNASE1	6035	ENSG00000129538.13_3	protein_coding	-	"ribonuclease A family member 1, pancreatic [Source:HGNC Symbol;Acc:HGNC:10044]"
chr14	24686058	24701660	NEDD8	4738	ENSG00000129559.12_3	protein_coding	-	"neural precursor cell expressed, developmentally down-regulated 8 [Source:HGNC Symbol;Acc:HGNC:7732]"
chr14	23033805	23058175	DAD1	1603	ENSG00000129562.10_3	protein_coding	-	"defender against cell death 1 [Source:HGNC Symbol;Acc:HGNC:2664]"
chr14	20833826	20881588	TEP1	7011	ENSG00000129566.12_4	protein_coding	-	"telomerase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:11726]"
chr5	111478138	111755013	EPB41L4A	64097	ENSG00000129595.12_3	protein_coding	-	"erythrocyte membrane protein band 4.1 like 4A [Source:HGNC Symbol;Acc:HGNC:13278]"
chr5	115140430	115152651	CDO1	1036	ENSG00000129596.4_3	protein_coding	-	"cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:HGNC:1795]"
chr5	112212076	112258236	REEP5	7905	ENSG00000129625.12_3	protein_coding	-	"receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]"
chr16	47188298	47498060	ITFG1	81533	ENSG00000129636.12_3	protein_coding	-	"integrin alpha FG-GAP repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:30697]"
chr17	74270130	74304079	QRICH2	84074	ENSG00000129646.14_5	protein_coding	-	"glutamine rich 2 [Source:HGNC Symbol;Acc:HGNC:25326]"
chr17	74132414	74137380	FOXJ1	2302	ENSG00000129654.7_3	protein_coding	-	"forkhead box J1 [Source:HGNC Symbol;Acc:HGNC:3816]"
chr17	75082798	75213183	SEC14L1	6397	ENSG00000129657.14_4	protein_coding	+	"SEC14 like lipid binding 1 [Source:HGNC Symbol;Acc:HGNC:10698]"
chr17	74466973	74497872	RHBDF2	79651	ENSG00000129667.12_4	protein_coding	-	"rhomboid 5 homolog 2 [Source:HGNC Symbol;Acc:HGNC:20788]"
chr17	74449433	74466199	AANAT	15	ENSG00000129673.9_3	protein_coding	+	"aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19]"
chrX	135747706	135864247	ARHGEF6	9459	ENSG00000129675.15_3	protein_coding	-	"Rac/Cdc42 guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:685]"
chrX	135295379	135338641	MAP7D3	79649	ENSG00000129680.15_4	protein_coding	-	"MAP7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25742]"
chrX	137696892	138304939	FGF13	2258	ENSG00000129682.15_4	protein_coding	-	"fibroblast growth factor 13 [Source:HGNC Symbol;Acc:HGNC:3670]"
chr8	37962760	38001594	ASH2L	9070	ENSG00000129691.15_3	protein_coding	+	"ASH2 like histone lysine methyltransferase complex subunit [Source:HGNC Symbol;Acc:HGNC:744]"
chr8	33330904	33371119	C8orf41	80185	ENSG00000129696.12_4	protein_coding	-	"TELO2 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:26262]"
chr11	3666358	3685646	ART1	417	ENSG00000129744.2_3	protein_coding	+	"ADP-ribosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:723]"
chr11	3686817	3692614	CHRNA10	57053	ENSG00000129749.3_3	protein_coding	-	"cholinergic receptor nicotinic alpha 10 subunit [Source:HGNC Symbol;Acc:HGNC:13800]"
chr11	2904443	2907003	CDKN1C	1028	ENSG00000129757.13_4	protein_coding	-	"cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]"
chr3	20202085	20227784	SGO1	151648	ENSG00000129810.14_5	protein_coding	-	"shugoshin 1 [Source:HGNC Symbol;Acc:HGNC:25088]"
chrY	2709527	2800041	RPS4Y1	6192	ENSG00000129824.15_3	protein_coding	+	"ribosomal protein S4, Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425]"
chrY	16168097	16168838	VCY1B	353513	ENSG00000129862.6_3	protein_coding	+	"variable charge, Y-linked 1B [Source:HGNC Symbol;Acc:HGNC:31751]"
chrY	16097652	16098393	VCY	9084	ENSG00000129864.6_3	protein_coding	-	"variable charge, Y-linked [Source:HGNC Symbol;Acc:HGNC:12668]"
chrY	19989290	19992100	CDY2B	203611	ENSG00000129873.7_5	protein_coding	-	"chromodomain Y-linked 2B [Source:HGNC Symbol;Acc:HGNC:23921]"
chr16	89238175	89261900	CDH15	1013	ENSG00000129910.7_3	protein_coding	+	"cadherin 15 [Source:HGNC Symbol;Acc:HGNC:1754]"
chr19	1852398	1863567	KLF16	83855	ENSG00000129911.8_4	protein_coding	-	"Kruppel like factor 16 [Source:HGNC Symbol;Acc:HGNC:16857]"
chr16	420773	437113	TMEM8A	58986	ENSG00000129925.10_3	protein_coding	-	"transmembrane protein 8A [Source:HGNC Symbol;Acc:HGNC:17205]"
chr19	3490822	3500940	.	.	ENSG00000129932	protein_coding	-	"deoxyhypusine hydroxylase [Source:HGNC Symbol;Acc:HGNC:28662]"
chr19	19431490	19469564	MAU2	23383	ENSG00000129933.20_3	protein_coding	+	"MAU2 sister chromatid cohesion factor [Source:HGNC Symbol;Acc:HGNC:29140]"
