## gwas.catalog
## NHGRI/EBI GWAS catalog, gwsig findings
## GRCh37/hg19, source=gwas_catalog_v1.0.2-associations_e92_r2018-05-03.tsv from https://www.ebi.ac.uk/gwas/docs/file-downloads, new GRCh37/hg19 bp coordinates from Ensembl rest api http://grch37.rest.ensembl.org/variation/human/
## PGC bioinformatics, PF Sullivan & Johan Kallberg Zvrskovec, Karolinska Institutet, 2018
## Rows: 5 comments, header, 28500 entries. Columns: 7
#chr	bp1	bp2	snpid	pvalue	pmid	trait
chr12	54342684	54342684	rs1443512	7e-13	25673412	"Waist-to-hip ratio adjusted for body mass index"
chr12	54342684	54342684	rs1443512	6e-17	20935629	"Waist-hip ratio"
chr12	54342684	54342684	rs1443512	5e-12	28448500	"Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction)"
chr12	54342684	54342684	rs1443512	2e-13	25673412	"Waist-hip ratio"
chr12	54342684	54342684	rs1443512	4e-13	28448500	"Waist-to-hip ratio adjusted for body mass index"
chr12	54342684	54342684	rs1443512	6e-14	28448500	"Waist-to-hip ratio adjusted for BMI in active individuals"
chr12	54342684	54342684	rs1443512	6e-14	28448500	"Waist-to-hip ratio adjusted for BMI in active individuals"
chr12	54342684	54342684	rs1443512	3e-11	25673412	"Waist-hip ratio"
chr12	54342684	54342684	rs1443512	1e-13	28448500	"Waist-to-hip ratio adjusted for body mass index"
chr12	54342684	54342684	rs1443512	1e-13	28448500	"Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction)"
chr12	54342684	54342684	rs1443512	5e-13	28448500	"Waist-to-hip ratio adjusted for body mass index"
chr12	54342684	54342684	rs1443512	1e-14	25673412	"Waist-to-hip ratio adjusted for body mass index"
chr12	54342684	54342684	rs1443512	1e-10	28443625	"Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour)"
chr12	54342684	54342684	rs1443512	8e-16	25673412	"Waist-to-hip ratio adjusted for body mass index"
chr12	54342684	54342684	rs1443512	1e-13	28448500	"Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction)"
chr12	54342684	54342684	rs1443512	2e-11	28443625	"Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour)"
chr12	54342684	54342684	rs1443512	3e-12	28448500	"Waist-to-hip ratio adjusted for BMI in active individuals"
chr12	54342684	54342684	rs1443512	5e-12	28448500	"Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction)"
chr10	9064361	9064361	rs1444789	2e-22	29083406	"Allergic disease (asthma, hay fever or eczema)"
chr5	67593016	67593016	rs1445760	2e-15	27863252	"Mean corpuscular volume"
chr2	164963486	164963486	rs1446468	3e-13	28739976	"Systolic blood pressure"
chr2	164963486	164963486	rs1446468	2e-11	28739976	"Diastolic blood pressure"
chr2	164963486	164963486	rs1446468	6e-12	21909110	"Blood pressure"
chr8	128485038	128485038	rs1447295	6e-18	17401366	"Prostate cancer"
chr8	128485038	128485038	rs1447295	2e-19	19767754	"Prostate cancer"
chr8	128485038	128485038	rs1447295	6e-18	24753544	"Prostate cancer"
chr8	128485038	128485038	rs1447295	2e-14	17401363	"Prostate cancer"
chr8	128485038	128485038	rs1447295	4e-23	26443449	"Prostate cancer"
chr2	112268285	112268285	rs1448203	6e-33	27863252	"Mean corpuscular volume"
chr2	207308961	207308961	rs1448903	5e-09	28928442	"Tonsillectomy"
chr2	207308961	207308961	rs1448903	5e-09	27182965	"Tonsillectomy"
chr2	182319301	182319301	rs1449263	7e-14	25096241	"Monocyte count"
chr2	182319301	182319301	rs1449263	3e-23	21738480	"White blood cell count"
chr8	42546711	42546711	rs1451240	7e-16	22524403	"Nicotine dependence"
chr21	28773868	28773868	rs1452102	2e-09	29304378	"Total body bone mineral density"
chr19	41257046	41257046	rs1455434	2e-28	28240269	"Blood protein levels"
chr8	128103937	128103937	rs1456315	1e-12	23023329	"Prostate cancer"
chr8	128103937	128103937	rs1456315	2e-29	20676098	"Prostate cancer"
chr2	199769183	199769183	rs1456522	1e-09	27182965	"Menarche (age at onset)"
chr7	50269672	50269672	rs1456893	5e-09	18587394	"Crohn's disease"
chr7	50304461	50304461	rs1456896	3e-13	26192919	"Inflammatory bowel disease"
chr7	50304461	50304461	rs1456896	9e-12	28067908	"Crohn's disease"
chr7	50304461	50304461	rs1456896	1e-13	26192919	"Crohn's disease"
chr7	50304461	50304461	rs1456896	5e-11	28067908	"Inflammatory bowel disease"
chr7	50304461	50304461	rs1456896	7e-15	23128233	"Inflammatory bowel disease"
chr14	98488007	98488007	rs1456988	5e-09	23612905	"Graves' disease"
chr4	81164723	81164723	rs1458038	2e-23	21909115	"Systolic blood pressure"
chr4	81164723	81164723	rs1458038	2e-14	26390057	"Diastolic blood pressure"
chr4	81164723	81164723	rs1458038	1e-09	26390057	"Diastolic blood pressure"
chr4	81164723	81164723	rs1458038	8e-17	28739976	"Diastolic blood pressure"
chr4	81164723	81164723	rs1458038	3e-14	21909110	"Blood pressure"
chr4	81164723	81164723	rs1458038	9e-25	21909115	"Diastolic blood pressure"
chr4	81164723	81164723	rs1458038	1e-16	28739976	"Systolic blood pressure"
chr3	55150677	55150677	rs1458979	4e-10	28166213	"Lung function (FEV1/FVC)"
chr11	122845075	122845075	rs1461503	3e-26	25231870	"Menarche (age at onset)"
chr11	99175378	99175378	rs1461672	2e-18	28240269	"Blood protein levels"
chr8	9187242	9187242	rs1461729	7e-09	23726366	"HDL cholesterol"
chr4	88478750	88478750	rs1462372	6e-12	28240269	"Blood protein levels"
chr4	88799710	88799710	rs1463104	2e-09	24249740	"Bone mineral density"
chr3	57137461	57137461	rs1463657	1e-42	28240269	"Blood protein levels"
chr3	188112554	188112554	rs1464510	3e-40	20190752	"Celiac disease"
chr3	188112554	188112554	rs1464510	5e-09	18311140	"Celiac disease"
chr3	188112554	188112554	rs1464510	1e-11	20410501	"Vitiligo"
chr14	69263599	69263599	rs1465788	2e-12	19430480	"Type 1 diabetes"
chr12	57534470	57534470	rs1466535	5e-10	22055160	"Abdominal aortic aneurysm"
chr1	110618730	110618730	rs1466788	3e-16	24816252	"Blood metabolite levels"
chr21	35714544	35714544	rs1467847	2e-09	27182965	"Joint mobility (Beighton score)"
chr5	137552970	137552970	rs1468333	1e-13	27798624	"Resting heart rate"
chr9	113807082	113807082	rs1468758	1e-09	20881960	"Height"
chr8	140651779	140651779	rs1469039	4e-12	25231870	"Menarche (age at onset)"
chr3	185529080	185529080	rs1470579	4e-09	23300278	"Type 2 diabetes"
chr3	185529080	185529080	rs1470579	2e-09	20581827	"Type 2 diabetes"
chr3	185529080	185529080	rs1470579	4e-14	28869590	"Type 2 diabetes"
chr3	185529080	185529080	rs1470579	8e-12	28869590	"Type 2 diabetes"
chr3	185529080	185529080	rs1470579	1e-45	28869590	"Type 2 diabetes"
chr3	185529080	185529080	rs1470579	5e-14	23945395	"Type 2 diabetes"
chr3	185529080	185529080	rs1470579	2e-24	26818947	"Type 2 diabetes"
chr3	185529080	185529080	rs1470579	2e-13	23300278	"Type 2 diabetes"
chr3	185529080	185529080	rs1470579	2e-19	23300278	"Type 2 diabetes"
chr1	145723739	145723739	rs1471633	1e-29	23263486	"Urate levels"
chr8	86305198	86305198	rs1472360	4e-09	27863252	"Mean corpuscular hemoglobin concentration"
chr15	63423739	63423739	rs1472631	2e-88	24816252	"Blood metabolite levels"
chr10	115235114	115235114	rs1472750	5e-09	23049088	"Myopia (pathological)"
chr2	169110394	169110394	rs1474055	6e-26	28892059	"Parkinson's disease"
chr2	169110394	169110394	rs1474055	1e-20	25064009	"Parkinson's disease"
chr11	36790685	36790685	rs1474107	5e-10	26053186	"3-hydroxypropylmercapturic acid levels in smokers"
chr6	56064197	56064197	rs1474698	5e-09	26390057	"Pulse pressure"
chr9	137118170	137118170	rs1475718	1e-20	27863252	"Immature fraction of reticulocytes"
chr9	137118170	137118170	rs1475718	2e-11	27863252	"Reticulocyte fraction of red cells"
chr9	137118170	137118170	rs1475718	1e-19	27863252	"High light scatter reticulocyte percentage of red cells"
chr9	137118170	137118170	rs1475718	7e-18	27863252	"High light scatter reticulocyte count"
chr9	137118170	137118170	rs1475718	2e-09	27863252	"Reticulocyte count"
chr17	59237013	59237013	rs1476098	9e-10	29212778	"Coronary artery disease"
chr6	29809826	29809826	rs1476435	2e-17	28540026	"Autism spectrum disorder or schizophrenia"
chr17	42330122	42330122	rs1476512	1e-16	27863252	"Immature fraction of reticulocytes"
chr4	114698696	114698696	rs1476569	6e-10	28165464	"Chronic lymphocytic leukemia"
chr7	100004446	100004446	rs1476679	6e-10	24162737	"Alzheimer's disease (late onset)"
chr2	242296449	242296449	rs1476698	2e-09	23969696	"Fibrinogen"
chr2	242296449	242296449	rs1476698	4e-12	28107422	"Fibrinogen levels"
chr3	162276405	162276405	rs1478173	1e-12	27958378	"JT interval (sulfonylurea treatment interaction)"
chr12	13505496	13505496	rs1479119	1e-09	29326435	"Intelligence (multi-trait analysis)"
chr5	76528022	76528022	rs1479567	1e-23	27182965	"Hypothyroidism"
chr4	123387600	123387600	rs1479924	6e-11	23603761	"Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)"
chr6	32913246	32913246	rs1480380	4e-39	21323541	"Idiopathic membranous nephropathy"
chr4	89039082	89039082	rs1481012	2e-15	22331829	"Response to statins (LDL cholesterol change)"
chr4	89039082	89039082	rs1481012	2e-32	23263486	"Gout"
chr8	71367006	71367006	rs1481045	7e-10	29326435	"Intelligence (multi-trait analysis)"
chr3	156798294	156798294	rs1482852	2e-12	28448500	"Waist circumference adjusted for BMI in active individuals"
chr3	156798294	156798294	rs1482852	2e-13	28448500	"Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)"
chr3	156798473	156798473	rs1482853	3e-19	23575227	"Anthropometric traits in newborns"
chr3	156798473	156798473	rs1482853	4e-09	23575227	"Anthropometric traits in newborns"
chr3	156798473	156798473	rs1482853	2e-13	23575227	"Anthropometric traits in newborns"
chr11	48333360	48333360	rs1483121	2e-09	22581228	"Fasting blood glucose"
chr3	69410725	69410725	rs1483890	3e-15	27798624	"Resting heart rate"
chr2	67639769	67639769	rs1486134	3e-09	26098869	"Pancreatic cancer"
chr2	67639769	67639769	rs1486134	5e-09	29422604	"Pancreatic cancer"
chr6	98553894	98553894	rs1487441	2e-09	25201988	"Educational attainment"
chr4	38335823	38335823	rs1487630	1e-11	23266558	"Crohn's disease"
chr4	145474473	145474473	rs1489759	7e-13	26634245	"Post bronchodilator FEV1/FVC ratio"
chr4	145474473	145474473	rs1489759	1e-09	26634245	"Post bronchodilator FEV1"
chr4	145474297	145474297	rs1489760	3e-13	26634245	"Post bronchodilator FEV1"
chr4	145474297	145474297	rs1489760	3e-17	26634245	"Post bronchodilator FEV1/FVC ratio"
chr4	145454964	145454964	rs1489762	4e-17	26634245	"Post bronchodilator FEV1/FVC ratio"
chr4	145454964	145454964	rs1489762	9e-13	26634245	"Post bronchodilator FEV1"
chr4	145454232	145454232	rs1489763	2e-17	26634245	"Post bronchodilator FEV1/FVC ratio"
chr4	145454232	145454232	rs1489763	5e-13	26634245	"Post bronchodilator FEV1"
chr4	145354523	145354523	rs1490151	5e-09	26634245	"Post bronchodilator FEV1"
chr4	145354523	145354523	rs1490151	2e-11	26634245	"Post bronchodilator FEV1/FVC ratio"
chr3	67452043	67452043	rs1490265	2e-09	28166213	"Lung function (FVC)"
chr6	126851160	126851160	rs1490384	1e-10	27182965	"Menarche (age at onset)"
chr6	126851160	126851160	rs1490384	7e-10	28270201	"Height"
chr6	126851160	126851160	rs1490384	1e-16	23563607	"Height"
chr6	126851160	126851160	rs1490384	4e-21	20881960	"Height"
chr12	40620808	40620808	rs1491942	6e-15	22438815	"Parkinson's disease"
chr12	40620808	40620808	rs1491942	6e-14	21292315	"Parkinson's disease"
chr4	145650021	145650021	rs1492820	1e-11	18391950	"Height"
chr3	141292618	141292618	rs1493209	2e-10	27863252	"Granulocyte percentage of myeloid white cells"
chr3	141292618	141292618	rs1493209	3e-18	27863252	"Monocyte percentage of white cells"
chr8	119848956	119848956	rs1493935	1e-09	27863252	"Eosinophil percentage of white cells"
chr12	65824670	65824670	rs1494502	1e-09	28166213	"Lung function (FEV1)"
chr4	21393616	21393616	rs1495509	2e-09	26169577	"Cough in response to angiotensin-converting enzyme inhibitor drugs"
chr8	18272881	18272881	rs1495741	2e-09	20686565	"Cholesterol, total"
chr8	18272881	18272881	rs1495741	4e-11	20972438	"Bladder cancer"
chr8	18272881	18272881	rs1495741	4e-14	20686565	"Triglycerides"
chr8	18272881	18272881	rs1495741	3e-12	24097068	"Triglycerides"
chr8	18272881	18272881	rs1495741	1e-27	24816252	"Blood metabolite levels"
chr8	18272881	18272881	rs1495741	2e-10	24163127	"Bladder cancer"
chr8	18273300	18273300	rs1495743	2e-40	21886157	"Metabolic traits"
chr1	67753508	67753508	rs1495965	2e-11	20622879	"Behcet's disease"
chr4	121604434	121604434	rs1496255	4e-09	29095316	"Lung function (forced expiratory volume in 1 second)"
chr4	121604434	121604434	rs1496255	2e-09	29095316	"Lung function (forced vital capacity)"
chr4	121604434	121604434	rs1496255	2e-09	29095316	"Lung function (maximal voluntary ventilation)"
chr3	23454790	23454790	rs1496653	4e-09	22885922	"Type 2 diabetes"
chr4	143321490	143321490	rs1497401	2e-14	27863252	"Platelet distribution width"
chr1	16505320	16505320	rs1497406	3e-19	22001757	"Liver enzyme levels (gamma-glutamyl transferase)"
chr1	30433951	30433951	rs1498232	7e-10	26198764	"Schizophrenia"
chr1	30433951	30433951	rs1498232	5e-10	28540026	"Autism spectrum disorder or schizophrenia"
chr1	30433951	30433951	rs1498232	3e-09	25056061	"Schizophrenia"
chr12	103257876	103257876	rs1498694	7e-11	24816252	"Blood metabolite levels"
chr5	52096889	52096889	rs1499280	1e-31	27863252	"Reticulocyte count"
chr5	52096889	52096889	rs1499280	2e-34	27863252	"High light scatter reticulocyte percentage of red cells"
chr5	52096889	52096889	rs1499280	1e-33	27863252	"High light scatter reticulocyte count"
chr5	52096889	52096889	rs1499280	5e-33	27863252	"Reticulocyte fraction of red cells"
chr5	52096889	52096889	rs1499280	6e-20	27863252	"Immature fraction of reticulocytes"
chr5	45364875	45364875	rs1501357	5e-09	25056061	"Schizophrenia"
chr11	2320884	2320884	rs1501466	6e-12	27863252	"Mean corpuscular volume"
chr5	156398169	156398169	rs1501908	1e-11	19060906	"LDL cholesterol"
chr15	78766629	78766629	rs1504549	7e-09	26634245	"Post bronchodilator FEV1"
chr15	78766250	78766250	rs1504550	1e-13	26634245	"Post bronchodilator FEV1"
chr15	78766250	78766250	rs1504550	8e-13	26634245	"Post bronchodilator FEV1/FVC ratio"
chr3	24343330	24343330	rs1505307	4e-14	27863252	"Red cell distribution width"
chr3	24343330	24343330	rs1505307	9e-11	28017375	"Mean corpuscular hemoglobin"
chr3	24343330	24343330	rs1505307	4e-09	27863252	"Reticulocyte count"
chr4	145308299	145308299	rs1505766	2e-09	26634245	"Post bronchodilator FEV1/FVC ratio"
chr4	145380802	145380802	rs1505770	3e-11	26634245	"Post bronchodilator FEV1"
chr4	145380802	145380802	rs1505770	2e-11	26634245	"Post bronchodilator FEV1/FVC ratio"
chr5	40498577	40498577	rs1505992	7e-32	26192919	"Inflammatory bowel disease"
chr7	123317140	123317140	rs1506636	9e-14	27863252	"Platelet count"
chr7	123317140	123317140	rs1506636	7e-11	27863252	"Plateletcrit"
chr5	9556694	9556694	rs1508798	5e-13	29212778	"Coronary artery disease"
chr17	6683878	6683878	rs1509123	5e-09	24816252	"Blood metabolite levels"
chr15	56229760	56229760	rs1509406	3e-10	28886342	"Dupuytren's disease"
chr2	211132415	211132415	rs1509569	3e-18	24586186	"Urinary metabolites (H-NMR features)"
chr7	80858944	80858944	rs1509922	6e-12	29235454	"Intraocular pressure"
chr6	160894878	160894878	rs1510224	4e-160	28512139	"Lipoprotein (a) levels"
chr3	156300724	156300724	rs1510272	7e-09	28604732	"Testicular germ cell tumor"
chr3	156300724	156300724	rs1510272	2e-12	28604728	"Testicular germ cell tumor"
chr3	138713704	138713704	rs1511412	2e-13	20711176	"Keloid"
chr12	84061431	84061431	rs1511589	1e-09	25631615	"Optic disc area"
chr4	187150806	187150806	rs1511802	9e-29	28240269	"Blood protein levels"
chr8	23526463	23526463	rs1512268	1e-13	26443449	"Prostate cancer"
chr8	23526463	23526463	rs1512268	2e-12	26034056	"Prostate cancer"
chr8	23526463	23526463	rs1512268	4e-15	26034056	"Prostate cancer"
chr8	23526463	23526463	rs1512268	4e-11	20676098	"Prostate cancer"
chr8	23526463	23526463	rs1512268	3e-30	19767753	"Prostate cancer"
chr4	145434901	145434901	rs1512281	2e-17	26634245	"Post bronchodilator FEV1/FVC ratio"
chr4	145434901	145434901	rs1512281	6e-14	26634245	"Post bronchodilator FEV1"
chr4	145431497	145431497	rs1512282	7e-11	26634245	"Post bronchodilator FEV1/FVC ratio"
chr4	145431497	145431497	rs1512282	4e-11	26634245	"Post bronchodilator FEV1"
chr4	145431093	145431093	rs1512283	1e-10	26634245	"Post bronchodilator FEV1"
chr4	145431093	145431093	rs1512283	1e-10	26634245	"Post bronchodilator FEV1/FVC ratio"
chr4	145450959	145450959	rs1512285	2e-09	26634245	"Post bronchodilator FEV1/FVC ratio"
chr4	145491281	145491281	rs1512288	8e-14	26634245	"Post bronchodilator FEV1/FVC ratio"
chr4	145491281	145491281	rs1512288	2e-09	26634245	"Post bronchodilator FEV1"
chr4	76835364	76835364	rs1513890	2e-13	28240269	"Blood protein levels"
chr1	74991644	74991644	rs1514175	8e-14	20935630	"Body mass index"
chr1	74991644	74991644	rs1514175	3e-11	23669352	"Body mass index"
chr1	74991402	74991402	rs1514177	5e-09	23563607	"Obesity"
chr2	227123086	227123086	rs1515108	5e-09	25673412	"Waist-hip ratio"
chr3	185824004	185824004	rs1516725	2e-09	25673412	"Waist circumference"
chr3	185824004	185824004	rs1516725	1e-24	25673413	"Body mass index"
chr3	185824004	185824004	rs1516725	8e-12	28443625	"Body mass index (joint analysis main effects and smoking interaction)"
chr3	185824004	185824004	rs1516725	7e-10	28443625	"BMI in non-smokers"
chr3	185824004	185824004	rs1516725	6e-15	28443625	"BMI (adjusted for smoking behaviour)"
chr3	185824004	185824004	rs1516725	3e-09	23563607	"Obesity"
chr3	185824004	185824004	rs1516725	2e-15	25673413	"Body mass index"
chr3	185824004	185824004	rs1516725	2e-11	28443625	"BMI (adjusted for smoking behaviour)"
chr3	185824004	185824004	rs1516725	7e-09	28443625	"BMI in smokers"
chr3	185824004	185824004	rs1516725	2e-22	25673413	"Body mass index"
chr3	185824004	185824004	rs1516725	3e-16	28443625	"Body mass index (joint analysis main effects and smoking interaction)"
chr3	185824004	185824004	rs1516725	1e-12	25673413	"Body mass index"
chr3	185824004	185824004	rs1516725	1e-24	28892062	"Body mass index"
chr8	129542100	129542100	rs1516971	1e-10	24390342	"Rheumatoid arthritis"
chr8	129542100	129542100	rs1516971	3e-11	24390342	"Rheumatoid arthritis"
chr2	191931464	191931464	rs1517352	4e-14	26192919	"Inflammatory bowel disease"
chr2	191931464	191931464	rs1517352	3e-11	23128233	"Inflammatory bowel disease"
chr2	191931464	191931464	rs1517352	1e-10	26192919	"Crohn's disease"
chr2	191931464	191931464	rs1517352	2e-09	26192919	"Ulcerative colitis"
chr1	206944645	206944645	rs1518111	4e-18	20622878	"Behcet's disease"
chr18	40721490	40721490	rs1518142	1e-09	28892062	"Body mass index"
chr18	40708905	40708905	rs1518170	7e-09	28892062	"Body mass index"
chr2	58208074	58208074	rs1518395	4e-13	28991256	"Schizophrenia"
chr12	51055708	51055708	rs1521516	3e-11	28107422	"Fibrinogen levels"
chr2	36673774	36673774	rs1523787	1e-10	27577874	"QRS duration"
chr7	38136277	38136277	rs1524058	1e-09	19801982	"Bone mineral density (spine)"
chr7	38136277	38136277	rs1524058	7e-10	29304378	"Total body bone mineral density (age over 60)"
chr7	96362894	96362894	rs1524920	2e-13	29304378	"Total body bone mineral density"
chr7	96371732	96371732	rs1524927	1e-13	29304378	"Total body bone mineral density"
chr2	181550962	181550962	rs1528435	2e-13	28892062	"Body mass index"
chr2	181550962	181550962	rs1528435	5e-09	25673413	"Body mass index"
chr3	25520582	25520582	rs1529672	7e-11	23284291	"Pulmonary function (smoking interaction)"
chr3	25520582	25520582	rs1529672	4e-14	21946350	"Pulmonary function"
chr10	63524591	63524591	rs1530440	1e-09	19430483	"Diastolic blood pressure"
chr3	122854899	122854899	rs1530455	5e-10	27989323	"Interleukin-17 levels"
chr4	140795327	140795327	rs1531070	5e-12	23708190	"Congenital heart malformation"
chr12	66174894	66174894	rs1531343	4e-09	20581827	"Type 2 diabetes"
chr15	58683366	58683366	rs1532085	2e-10	19060910	"HDL cholesterol"
chr15	58683366	58683366	rs1532085	3e-96	20686565	"HDL cholesterol"
chr15	58683366	58683366	rs1532085	1e-188	24097068	"HDL cholesterol"
chr15	58683366	58683366	rs1532085	2e-18	24097068	"Triglycerides"
chr15	58683366	58683366	rs1532085	7e-11	23222517	"Red blood cell traits"
chr15	58683366	58683366	rs1532085	5e-24	22399527	"Metabolic syndrome"
chr15	58683366	58683366	rs1532085	9e-104	22916037	"Metabolite levels"
chr15	58683366	58683366	rs1532085	1e-35	19060911	"HDL cholesterol"
chr15	58683366	58683366	rs1532085	1e-213	28334899	"HDL cholesterol levels"
chr15	58683366	58683366	rs1532085	1e-19	19936222	"Lipid metabolism phenotypes"
chr15	58683366	58683366	rs1532085	9e-15	19936222	"Lipid metabolism phenotypes"
chr15	58683366	58683366	rs1532085	9e-155	27005778	"Metabolite levels (lipoprotein measures)"
chr15	58683366	58683366	rs1532085	7e-47	24097068	"Cholesterol, total"
chr15	58683366	58683366	rs1532085	9e-20	20686565	"Cholesterol, total"
chr15	58683366	58683366	rs1532085	4e-16	19936222	"Lipid metabolism phenotypes"
chr15	58683366	58683366	rs1532085	2e-13	20686565	"Triglycerides"
chr5	43116830	43116830	rs1532331	4e-09	25231870	"Menarche (age at onset)"
chr8	86268313	86268313	rs1532423	6e-12	23720494	"Blood trace element (Zn levels)"
chr8	86268313	86268313	rs1532423	1e-09	27863252	"Reticulocyte fraction of red cells"
chr16	57005479	57005479	rs1532624	9e-94	19060911	"HDL cholesterol"
chr16	57005479	57005479	rs1532624	1e-39	19936222	"Lipid metabolism phenotypes"
chr16	57005479	57005479	rs1532624	3e-55	19936222	"Lipid metabolism phenotypes"
chr16	57005479	57005479	rs1532624	3e-20	20066028	"Cholesterol"
chr16	57005479	57005479	rs1532624	1e-66	19936222	"Lipid metabolism phenotypes"
chr16	57005479	57005479	rs1532624	1e-24	23505323	"HDL cholesterol"
chr2	146119018	146119018	rs1533426	1e-260	27182965	"Photic sneeze reflex"
chr3	133537067	133537067	rs1534166	2e-17	21665994	"Alcohol consumption (transferrin glycosylation)"
chr7	26397239	26397239	rs1534696	1e-10	28443625	"Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour)"
chr6	108885623	108885623	rs1536057	4e-09	27863252	"Platelet distribution width"
chr9	137440528	137440528	rs1536482	3e-22	23291589	"Corneal structure"
chr1	87739219	87739219	rs1537061	6e-15	27863252	"Basophil percentage of granulocytes"
chr1	87739219	87739219	rs1537061	3e-15	27863252	"White blood cell count (basophil)"
chr1	87739219	87739219	rs1537061	2e-16	27863252	"Basophil percentage of white cells"
chr9	22084310	22084310	rs1537370	2e-11	23561647	"Coronary artery calcification"
chr9	22169700	22169700	rs1537377	1e-10	28537267	"Endometriosis"
chr9	22169700	22169700	rs1537377	2e-09	23104006	"Endometriosis"
chr9	138529722	138529722	rs1537415	6e-09	19897590	"Periodontitis"
chr6	82794594	82794594	rs1538138	1e-12	23291589	"Corneal structure"
chr6	126752874	126752874	rs1538170	2e-12	25673412	"Hip circumference adjusted for BMI"
chr6	126752874	126752874	rs1538170	2e-10	25673412	"Hip circumference adjusted for BMI"
chr1	45847562	45847562	rs1538970	4e-19	27863252	"Platelet count"
chrX	22148051	22148051	rs1540283	9e-09	22610502	"Immune reponse to smallpox (secreted IFN-alpha)"
chr6	466033	466033	rs1540771	4e-18	17952075	"Freckles"
chr4	106048360	106048360	rs1541374	9e-10	29326435	"Intelligence (multi-trait analysis)"
chr15	96316457	96316457	rs1541995	4e-73	27182965	"Photic sneeze reflex"
chr4	145488334	145488334	rs1542725	1e-17	26634245	"Post bronchodilator FEV1/FVC ratio"
chr4	145488334	145488334	rs1542725	2e-13	26634245	"Post bronchodilator FEV1"
chr4	145515769	145515769	rs1542726	3e-09	26634245	"Post bronchodilator FEV1/FVC ratio"
chr6	159801024	159801024	rs1544167	4e-10	25575512	"Lipoprotein (a) - cholesterol levels"
chr2	33360338	33360338	rs1545552	6e-13	25673412	"Hip circumference adjusted for BMI"
chr2	33360338	33360338	rs1545552	8e-09	25673412	"Hip circumference adjusted for BMI"
chr2	33360338	33360338	rs1545552	2e-10	23563607	"Height"
chr12	84564068	84564068	rs1545843	1e-09	21521612	"Major depressive disorder"
chr22	29100711	29100711	rs1547014	5e-20	25241763	"Vertical cup-disc ratio"
chr21	43778895	43778895	rs1547374	4e-13	22158540	"Pancreatic cancer"
chr6	32427179	32427179	rs1548306	9e-14	28199695	"Itch intensity from mosquito bite adjusted by bite size"
chr6	32427179	32427179	rs1548306	1e-11	28199695	"Itch intensity from mosquito bite adjusted by bite size"
chr6	32427179	32427179	rs1548306	5e-29	28199695	"Itch intensity from mosquito bite"
chr6	32427179	32427179	rs1548306	6e-10	28199695	"Itch intensity from mosquito bite adjusted by bite size"
chr16	31141993	31141993	rs1549293	7e-09	25673412	"Waist circumference"
chr15	71109147	71109147	rs1549318	2e-10	21873549	"Proinsulin levels"
chr17	53757787	53757787	rs1549519	6e-09	22021425	"Height"
chr2	218472172	218472172	rs1549733	4e-09	25631615	"Optic disc area"
chr2	233385396	233385396	rs1550094	9e-35	27182965	"Myopia"
chr2	234264848	234264848	rs1550532	8e-11	24068962	"Calcium levels"
chr2	234264848	234264848	rs1550532	3e-19	20639394	"Bilirubin levels"
chr2	174212894	174212894	rs1550623	5e-10	29059683	"Breast cancer"
chr11	18751041	18751041	rs1550870	1e-12	27182965	"Myopia"
chr11	131291728	131291728	rs1550973	2e-09	27225129	"Educational attainment (years of education)"
chr8	126540051	126540051	rs1551398	5e-09	18587394	"Crohn's disease"
chr19	10218030	10218030	rs1551570	4e-10	24204295	"Narcolepsy"
chr5	52195033	52195033	rs1551943	2e-18	28166213	"Lung function (FEV1/FVC)"
chr11	72433098	72433098	rs1552224	1e-22	20581827	"Type 2 diabetes"
chr11	72433098	72433098	rs1552224	2e-10	22885922	"Type 2 diabetes"
chr11	72433098	72433098	rs1552224	9e-09	22885922	"Type 2 diabetes"
chr11	72433098	72433098	rs1552224	1e-13	28869590	"Type 2 diabetes"
chr11	72433098	72433098	rs1552224	3e-17	28869590	"Type 2 diabetes"
chr16	85452695	85452695	rs1552272	6e-18	27863252	"Platelet distribution width"
chr5	156479323	156479323	rs1553318	2e-15	25961943	"LDL cholesterol"
chr5	156479323	156479323	rs1553318	2e-21	25961943	"Cholesterol, total"
chr5	156479323	156479323	rs1553318	2e-11	25961943	"Triglycerides"
chr5	53116966	53116966	rs1553477	2e-17	27182965	"Monobrow"
chr6	127436645	127436645	rs1555091	3e-11	28448500	"Waist circumference adjusted for body mass index"
chr20	31048382	31048382	rs1555133	5e-17	27863252	"Monocyte count"
chr14	67984370	67984370	rs1555399	1e-10	28892059	"Parkinson's disease"
chr14	67984370	67984370	rs1555399	7e-14	25064009	"Parkinson's disease"
chr14	101176769	101176769	rs1555405	4e-55	27863252	"Plateletcrit"
chr14	101176769	101176769	rs1555405	9e-33	27863252	"Platelet count"
