## omim
## OMIM genes, Online Mendelian Inheritance in Man
## hg19, source=gm.omim created=23MAY2016:19:02:25
## PGC bioinformatics, PF Sullivan & Johan Kallberg, Karolinska Institutet, (c) 2016
## Rows: 5 comments, header, 5935 entries. Columns: 7
#chr	bp1	bp2	geneName	OMIMgene	OMIMdisease	type
chr7	56169262	56174269	CHCHD2	616244	616710	"Parkinson disease 22, autosomal dominant"
chr15	93426526	93571237	CHD2	602119	615369	"Epileptic encephalopathy, childhood-onset"
chr8	61591337	61779465	CHD7	608892	214800	"CHARGE syndrome"
chr8	61591337	61779465	CHD7	608892	612370	"Hypogonadotropic hypogonadism 5 with or without anosmia"
chr14	21853353	21924285	CHD8	610528	615032	"Autism, susceptibility to, 18"
chr22	29083731	29138410	CHEK2	604373	0	"Breast and colorectal cancer, susceptibility to"
chr22	29083731	29138410	CHEK2	604373	114480	"Breast cancer, susceptibility to"
chr22	29083731	29138410	CHEK2	604373	609265	"Li-Fraumeni syndrome"
chr22	29083731	29138410	CHEK2	604373	259500	"Osteosarcoma, somatic"
chr22	29083731	29138410	CHEK2	604373	176807	"Prostate cancer, familial, susceptibility to"
chr1	203148059	203155877	CHI3L1	601525	611960	"Asthma-related traits, susceptibility to, 7"
chr1	203148059	203155877	CHI3L1	601525	181500	"Schizophrenia, susceptibility to"
chr4	54875956	54930857	CHIC2	604332	601626	"Leukemia, acute myeloid"
chr1	203181955	203242769	CHIT1	600031	614122	"Chitotriosidase deficiency"
chr22	51017378	51039884	CHKB	612395	602541	"Muscular dystrophy, congenital, megaconial type"
chrX	85116185	85302566	CHM	159440	607791	"Charcot-Marie-Tooth disease, dominant intermediate D"
chrX	85116185	85302566	CHM	159440	118200	"Charcot-Marie-Tooth disease, type 1B"
chrX	85116185	85302566	CHM	159440	607677	"Charcot-Marie-Tooth disease, type 2I"
chrX	85116185	85302566	CHM	159440	607736	"Charcot-Marie-Tooth disease, type 2J"
chrX	85116185	85302566	CHM	300390	303100	"Choroideremia"
chrX	85116185	85302566	CHM	159440	145900	"Dejerine-Sottas disease"
chrX	85116185	85302566	CHM	159440	605253	"Neuropathy, congenital hypomyelinating"
chrX	85116185	85302566	CHM	159440	180800	"Roussy-Levy syndrome"
chr16	89710839	89724253	CHMP1A	164010	614961	"Pontocerebellar hypoplasia, type 8"
chr3	87276421	87304698	CHMP2B	609512	614696	"Amyotrophic lateral sclerosis 17"
chr3	87276421	87304698	CHMP2B	609512	600795	"Dementia, familial, nonspecific"
chr20	32399110	32442172	CHMP4B	610897	605387	"Cataract 31, multiple types"
chr2	175664091	175870097	CHN1	118423	604356	"Duane retraction syndrome 2"
chr2	220403669	220408509	CHPF	603024	614607	"Coffin-Siris syndrome 2"
chrX	109917084	110039286	CHRDL1	613169	236000	"Hodgkin lymphoma, susceptibility to"
chrX	109917084	110039286	CHRDL1	300350	309300	"Megalocornea 1, X-linked"
chr2	175612320	175629200	CHRNA1	100690	253290	"Multiple pterygium syndrome, lethal type"
chr2	175612320	175629200	CHRNA1	100690	601462	"Myasthenic syndrome, congenital, 1A, slow-channel"
chr2	175612320	175629200	CHRNA1	100690	608930	"Myasthenic syndrome, congenital, 1B, fast-channel"
chr8	27317279	27337400	CHRNA2	118502	610353	"Epilepsy, nocturnal frontal lobe, type 4"
chr15	78885394	78913637	CHRNA3	118503	612052	"Lung cancer susceptibility 2"
chr20	61975420	62009753	CHRNA4	118504	600513	"Epilepsy, nocturnal frontal lobe, 1"
chr20	61975420	62009753	CHRNA4	118504	188890	"Nicotine addiction, susceptibility to"
chr15	78857862	78887611	CHRNA5	118505	612052	"Lung cancer susceptibility 2"
chr15	78857862	78887611	CHRNA5	118505	612052	"Nicotine dependence, susceptibility to"
chr15	32322691	32464722	CHRNA7	118511	0	"Schizophrenia, neurophysiologic defect in"
chr17	7348380	7361026	CHRNB1	100710	616313	"Myasthenic syndrome, congenital, 2A, slow-channel"
chr1	154540257	154552502	CHRNB2	118507	605375	"Epilepsy, nocturnal frontal lobe, 3"
chr2	233390703	233401377	CHRND	100690	253290	"Multiple pterygium syndrome, lethal type"
chr2	233390703	233401377	CHRND	100690	601462	"Myasthenic syndrome, congenital, 1A, slow-channel"
chr2	233390703	233401377	CHRND	100690	608930	"Myasthenic syndrome, congenital, 1B, fast-channel"
chr2	233390703	233401377	CHRND	100720	616322	"Myasthenic syndrome, congenital, 3B, fast-channel"
chr17	4801069	4806369	CHRNE	100725	605809	"Myasthenic syndrome, congenital, 4A, slow-channel"
chr17	4801069	4806369	CHRNE	100725	616324	"Myasthenic syndrome, congenital, 4B, fast-channel"
chr17	4801069	4806369	CHRNE	100725	608931	"Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency"
chr2	233404437	233411113	CHRNG	100730	265000	"Escobar syndrome"
chr2	233404437	233411113	CHRNG	100730	253290	"Multiple pterygium syndrome, lethal type"
chr15	40763160	40765353	CHST14	608429	601776	"Ehlers-Danlos syndrome, musculocontractural type 1"
chr10	73724123	73773322	CHST3	603799	143095	"Spondyloepiphyseal dysplasia with congenital joint dislocations"
chr16	75510949	75529282	CHST6	605294	217800	"Macular corneal dystrophy"
chr15	101715928	101792137	CHSY1	614556	135900	"Coffin-Siris syndrome 1"
chr15	101715928	101792137	CHSY1	608183	605282	"Temtamy preaxial brachydactyly syndrome"
chr5	129240165	129522327	CHSY3	601607	614608	"Coffin-Siris syndrome 3"
chr5	129240165	129522327	CHSY3	601607	609322	"Rhabdoid predisposition syndrome 1"
chr5	129240165	129522327	CHSY3	601607	609322	"Rhabdoid tumors, somatic"
chr5	129240165	129522327	CHSY3	601607	162091	"Schwannomatosis-1, susceptibility to"
chr10	101948055	101989376	CHUK	600664	613630	"Cocoon syndrome"
chr15	78396948	78423886	CIB2	605564	609439	"Deafness, autosomal recessive 48"
chr15	78396948	78423886	CIB2	605564	614869	"Usher syndrome, type IJ"
chr16	10971055	11026079	CIITA	600005	209920	"Bare lymphocyte syndrome, type II, complementation group A"
chr16	10971055	11026079	CIITA	600005	180300	"Rheumatoid arthritis, susceptibility to"
chr15	65488337	65503826	CILP	603489	603932	"Lumbar disc disease, susceptibility to"
chr4	103790135	103810399	CISD2	611507	604928	"Wolfram syndrome 2"
chr3	50643921	50649262	CISH	602441	614383	"Bacteremia, susceptibility to"
chr3	50643921	50649262	CISH	602441	611162	"Malaria, susceptibility to"
chr3	50643921	50649262	CISH	602441	607948	"Tuberculosis, susceptibility to"
chr6	139693393	139695757	CITED2	602937	614433	"Atrial septal defect 8"
chr6	139693393	139695757	CITED2	602937	614431	"Ventricular septal defect 2"
chr2	113493930	113522254	CKAP2L	616174	272440	"Filippi syndrome"
chr19	40221890	40228668	CLC	607672	610313	"Cold-induced sweating syndrome 2"
chr11	67131639	67141648	CLCF1	607672	610313	"Cold-induced sweating syndrome 2"
chr7	143013219	143049176	CLCN1	118425	160800	"Myotonia congenita, dominant"
chr7	143013219	143049176	CLCN1	118425	255700	"Myotonia congenita, recessive"
chr7	143013219	143049176	CLCN1	118425	0	"Myotonia levior, recessive"
chr3	184063973	184079439	CLCN2	600570	607628	"Epilepsy, idiopathic generalized, susceptibility to, 11"
chr3	184063973	184079439	CLCN2	601949	607682	"Epilepsy, idiopathic generalized, susceptibility to, 9"
chr3	184063973	184079439	CLCN2	600570	607628	"Epilepsy, juvenile absence, susceptibility to, 2"
chr3	184063973	184079439	CLCN2	601949	607682	"Epilepsy, juvenile myoclonic, susceptibility to, 6"
chr3	184063973	184079439	CLCN2	600570	607628	"Epilepsy, juvenile myoclonic, susceptibility to, 8"
chr3	184063973	184079439	CLCN2	601949	613855	"Episodic ataxia, type 5"
chr3	184063973	184079439	CLCN2	600570	615651	"Leukoencephalopathy with ataxia"
chrX	49687225	49863892	CLCN5	300008	300009	"Dent disease"
chrX	49687225	49863892	CLCN5	300535	300555	"Dent disease 2"
chrX	49687225	49863892	CLCN5	300008	300554	"Hypophosphatemic rickets"
chrX	49687225	49863892	CLCN5	300535	309000	"Lowe syndrome"
chrX	49687225	49863892	CLCN5	300008	310468	"Nephrolithiasis, type I"
chrX	49687225	49863892	CLCN5	300008	308990	"Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis"
chr16	1494935	1525581	CLCN7	602727	166600	"Osteopetrosis, autosomal dominant 2"
chr16	1494935	1525581	CLCN7	602727	611490	"Osteopetrosis, autosomal recessive 4"
chr1	16345370	16360545	CLCNKA	602024	613090	"Bartter syndrome, type 4b, digenic"
chr1	16370272	16383803	CLCNKB	602023	607364	"Bartter syndrome, type 3"
chr1	16370272	16383803	CLCNKB	602023	613090	"Bartter syndrome, type 4b, digenic"
chr3	190023490	190040264	CLDN1	603718	607626	"Ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis"
chr21	37832919	37948867	CLDN14	605608	614035	"Deafness, autosomal recessive 29"
chr3	190040330	190129932	CLDN16	603959	248250	"Hypomagnesemia 3, renal"
chr1	43198764	43205925	CLDN19	610036	248190	"Hypomagnesemia 5, renal, with ocular involvement"
chr17	6977856	6983626	CLEC10A	611911	255125	"Myopathy with lactic acidosis, hereditary"
chr19	7828035	7834491	CLEC4M	605872	0	"SARS infection, protection against"
chr12	10269376	10282857	CLEC7A	606264	614079	"Aspergillosis, susceptibility to"
chr12	10269376	10282857	CLEC7A	606264	613108	"Candidiasis, familial, 4, autosomal recessive"
chr2	201717732	201729422	CLK1	612502	265050	"3MC syndrome 2"
chr11	122943035	123065989	CLMP	611693	615237	"Congenital short bowel syndrome"
chr16	28477983	28506896	CLN3	607042	204200	"Ceroid lipofuscinosis, neuronal, 3"
chr13	77564795	77576652	CLN5	608102	256731	"Ceroid lipofuscinosis, neuronal, 5"
chr15	68499330	68549549	CLN6	606725	601780	"Ceroid lipofuscinosis, neuronal, 6"
chr15	68499330	68549549	CLN6	606725	204300	"Ceroid lipofuscinosis, neuronal, Kufs type, adult onset"
chr8	1703944	1734738	CLN8	607837	600143	"Ceroid lipofuscinosis, neuronal, 8"
chr8	1703944	1734738	CLN8	607837	610003	"Ceroid lipofuscinosis, neuronal, 8, Northern epilepsy variant"
chr11	57416465	57429340	CLP1	608757	615803	"Pontocerebellar hypoplasia, type 10"
chr11	72003469	72145692	CLPB	616254	616271	"3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia"
chr19	6361463	6368919	CLPP	601119	614129	"Perrault syndrome 3"
chr3	150643950	150690786	CLRN1	606397	614180	"Retinitis pigmentosa 61"
chr3	150643950	150690786	CLRN1	606397	276902	"Usher syndrome, type 3A"
chr3	28283075	28366633	CMC1	600998	163000	"Capillary malformations, congenital, 1, somatic, mosaic"
chr3	28283075	28366633	CMC1	600998	185300	"Sturge-Weber syndrome, somatic, mosaic"
chr3	128888327	128902765	CNBP	116955	602668	"Myotonic dystrophy 2"
chr4	47937994	48018689	CNGA1	123825	613756	"Retinitis pigmentosa 49"
chr2	98962618	99015064	CNGA3	600053	216900	"Achromatopsia-2"
chr16	57917503	58005020	CNGB1	600724	613767	"Retinitis pigmentosa 45"
chr8	87566205	87755903	CNGB3	605080	262300	"Achromatopsia-3"
chr8	87566205	87755903	CNGB3	605080	248200	"Macular degeneration, juvenile"
chr10	104678050	104849978	CNNM2	607803	613882	"Hypomagnesemia 6, renal"
chr10	104678050	104849978	CNNM2	607803	616418	"Hypomagnesemia, seizures, and mental retardation"
chr2	97426639	97477628	CNNM4	607805	217080	"Jalili syndrome"
chr19	40728115	40732597	CNTD2	607304	0	"Cataract 27, nuclear progressive"
chr17	40834631	40851832	CNTNAP1	602346	616286	"Lethal congenital contracture syndrome 7"
chr7	145813453	148118090	CNTNAP2	604569	612100	"Autism susceptibility 15"
chr7	145813453	148118090	CNTNAP2	604569	610042	"Cortical dysplasia-focal epilepsy syndrome"
chr7	145813453	148118090	CNTNAP2	604569	610042	"Pitt-Hopkins like syndrome 1"
chr1	234509202	234519795	COA6	614772	616501	"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 4"
chr17	40713485	40718295	COASY	609855	615643	"Neurodegeneration with brain iron accumulation 6"
chr14	31343720	31364271	COCH	608645	0	"Deafness, autosomal dominant 31"
chr14	31343720	31364271	COCH	603196	601369	"Deafness, autosomal dominant 9"
chr17	71189129	71204646	COG1	606973	611209	"Congenital disorder of glycosylation, type IIg"
chr16	70514471	70557468	COG4	606976	613489	"Congenital disorder of glycosylation, type IIj"
chr7	106842000	107204959	COG5	606821	613612	"Congenital disorder of glycosylation, type IIi"
chr13	40229764	40365802	COG6	300085	0	"Cone dystrophy, progressive X-linked, 2"
chr13	40229764	40365802	COG6	606977	614576	"Congenital disorder of glycosylation, type IIl"
chr13	40229764	40365802	COG6	606977	615328	"Shaheen syndrome"
chr16	23399814	23464501	COG7	606978	608779	"Congenital disorder of glycosylation, type IIe"
chr16	69354043	69373570	COG8	606979	611182	"Congenital disorder of glycosylation, type IIh"
chr6	116440086	116479910	COL10A1	120110	156500	"Metaphyseal chondrodysplasia, Schmid type"
chr1	103342023	103574052	COL11A1	120280	228520	"Fibrochondrogenesis 1"
chr1	103342023	103574052	COL11A1	120280	603932	"Lumbar disc herniation, susceptibility to"
chr1	103342023	103574052	COL11A1	120280	154780	"Marshall syndrome"
chr1	103342023	103574052	COL11A1	120280	604841	"Stickler syndrome, type II"
chr6	33130458	33160276	COL11A2	120290	601868	"Deafness, autosomal dominant 13"
chr6	33130458	33160276	COL11A2	120290	609706	"Deafness, autosomal recessive 53"
chr6	33130458	33160276	COL11A2	120290	614524	"Fibrochondrogenesis 2"
chr6	33130458	33160276	COL11A2	120290	215150	"Otospondylomegaepiphyseal dysplasia"
chr6	33130458	33160276	COL11A2	120290	184840	"Stickler syndrome, type III"
chr6	33130458	33160276	COL11A2	120290	277610	"Weissenbacher-Zweymuller syndrome"
chr6	75794042	75915767	COL12A1	120320	616471	"Bethlem myopathy 2"
chr10	71561644	71724031	COL13A1	120350	616720	"Myasthenic syndrome, congenital, 19"
chr10	105791044	105845760	COL17A1	113811	226650	"Epidermolysis bullosa, junctional, localisata variant"
chr10	105791044	105845760	COL17A1	113811	226650	"Epidermolysis bullosa, junctional, non-Herlitz type"
chr10	105791044	105845760	COL17A1	113811	122400	"Epithelial recurrent erosion dystrophy"
chr21	46825052	46933634	COL18A1	120328	267750	"Knobloch syndrome, type 1"
chr17	48260650	48278993	COL1A1	120150	166710	"Bone mineral density variation QTL, osteoporosis"
chr17	48260650	48278993	COL1A1	120150	114000	"Caffey disease"
chr17	48260650	48278993	COL1A1	120150	130000	"Ehlers-Danlos syndrome, classic"
chr17	48260650	48278993	COL1A1	120150	130060	"Ehlers-Danlos syndrome, type VIIA"
chr17	48260650	48278993	COL1A1	120150	166200	"Osteogenesis imperfecta, type I"
chr17	48260650	48278993	COL1A1	120150	166210	"Osteogenesis imperfecta, type II"
chr17	48260650	48278993	COL1A1	120150	259420	"Osteogenesis imperfecta, type III"
chr17	48260650	48278993	COL1A1	120150	166220	"Osteogenesis imperfecta, type IV"
chr7	94023873	94060544	COL1A2	120160	225320	"Ehlers-Danlos syndrome, cardiac valvular form"
chr7	94023873	94060544	COL1A2	120160	130060	"Ehlers-Danlos syndrome, type VIIB"
chr7	94023873	94060544	COL1A2	120160	166210	"Osteogenesis imperfecta, type II"
chr7	94023873	94060544	COL1A2	120160	259420	"Osteogenesis imperfecta, type III"
chr7	94023873	94060544	COL1A2	120160	166220	"Osteogenesis imperfecta, type IV"
chr7	94023873	94060544	COL1A2	120160	166710	"Osteoporosis, postmenopausal"
chr4	109731877	110223813	COL25A1	610004	616219	"Fibrosis of extraocular muscles, congenital, 5"
chr12	48366748	48398269	COL2A1	120140	200610	"Achondrogenesis, type II or hypochondrogenesis"
chr12	48366748	48398269	COL2A1	120140	608805	"Avascular necrosis of the femoral head"
chr12	48366748	48398269	COL2A1	120140	609162	"Czech dysplasia"
chr12	48366748	48398269	COL2A1	120140	132450	"Epiphyseal dysplasia, multiple, with myopia and deafness"
chr12	48366748	48398269	COL2A1	120140	156550	"Kniest dysplasia"
chr12	48366748	48398269	COL2A1	120140	150600	"Legg-Calve-Perthes disease"
chr12	48366748	48398269	COL2A1	120140	604864	"Osteoarthritis with mild chondrodysplasia"
chr12	48366748	48398269	COL2A1	120140	215150	"Otospondylomegaepiphyseal dysplasia"
chr12	48366748	48398269	COL2A1	120140	151210	"Platyspondylic skeletal dysplasia, Torrance type"
chr12	48366748	48398269	COL2A1	120140	183900	"SED congenita"
chr12	48366748	48398269	COL2A1	120140	184250	"SMED Strudwick type"
chr12	48366748	48398269	COL2A1	120140	616583	"Spondyloepiphyseal dysplasia, Stanescu type"
chr12	48366748	48398269	COL2A1	120140	271700	"Spondyloperipheral dysplasia"
chr12	48366748	48398269	COL2A1	120140	609508	"Stickler sydrome, type I, nonsyndromic ocular"
chr12	48366748	48398269	COL2A1	120140	108300	"Stickler syndrome, type I"
chr12	48366748	48398269	COL2A1	120140	0	"Vitreoretinopathy with phalangeal epiphyseal dysplasia"
chr2	189839046	189877472	COL3A1	120180	130050	"Ehlers-Danlos syndrome, type IV"
chr13	110801318	110959496	COL4A1	120130	611773	"Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps"
chr13	110801318	110959496	COL4A1	120130	607595	"Brain small vessel disease with or without ocular anomalies"
chr13	110801318	110959496	COL4A1	120130	614519	"Hemorrhage, intracerebral, susceptibility to"
chr13	110801318	110959496	COL4A1	120130	175780	"Porencephaly 1"
chr13	110958159	111165374	COL4A2	120090	614519	"Hemorrhage, intracerebral, susceptibility to"
chr13	110958159	111165374	COL4A2	120090	614483	"Porencephaly 2"
chr2	228029281	228179508	COL4A3	120070	104200	"Alport syndrome, autosomal dominant"
chr2	228029281	228179508	COL4A3	120070	203780	"Alport syndrome, autosomal recessive"
chr2	228029281	228179508	COL4A3	120070	141200	"Hematuria, benign familial"
chr5	74664311	74807963	COL4A3BP	604677	616351	"Mental retardation, autosomal dominant 34"
chr2	227867427	228028829	COL4A4	120131	203780	"Alport syndrome, autosomal recessive"
chr2	227867427	228028829	COL4A4	120131	0	"Hematuria, familial benign"
chrX	107683074	107940775	COL4A5	303630	301050	"Alport syndrome"
chrX	107683074	107940775	COL4A5	606145	208050	"Arterial tortuosity syndrome"
chr9	137533620	137736686	COL5A1	120215	130000	"Ehlers-Danlos syndrome, classic type"
chr2	189896622	190044605	COL5A2	120190	130000	"Ehlers-Danlos syndrome, classic type"
chr21	47401651	47424964	COL6A1	120220	158810	"Bethlem myopathy 1"
chr21	47401651	47424964	COL6A1	120220	254090	"Ullrich congenital muscular dystrophy 1"
chr21	47518011	47552763	COL6A2	120240	158810	"Bethlem myopathy 1"
chr21	47518011	47552763	COL6A2	120240	254090	"Ullrich congenital muscular dystrophy 1"
chr2	238232646	238323018	COL6A3	120250	158810	"Bethlem myopathy 1"
chr2	238232646	238323018	COL6A3	120250	616411	"Dystonia 27"
chr2	238232646	238323018	COL6A3	120250	254090	"Ullrich congenital muscular dystrophy 1"
chr3	48601506	48632700	COL7A1	120120	226600	"EBD inversa"
chr3	48601506	48632700	COL7A1	120120	132000	"EBD, Bart type"
chr3	48601506	48632700	COL7A1	120120	0	"EBD, localisata variant"
chr3	48601506	48632700	COL7A1	120120	131750	"Epidermolysis bullosa dystrophica, AD"
chr3	48601506	48632700	COL7A1	120120	226600	"Epidermolysis bullosa dystrophica, AR"
chr3	48601506	48632700	COL7A1	120120	604129	"Epidermolysis bullosa pruriginosa"
chr3	48601506	48632700	COL7A1	120120	131850	"Epidermolysis bullosa, pretibial"
chr3	48601506	48632700	COL7A1	120120	607523	"Toenail dystrophy, isolated"
chr3	48601506	48632700	COL7A1	120120	131705	"Transient bullous of the newborn"
chr1	36560837	36590821	COL8A2	120252	136800	"Corneal dystrophy, Fuchs endothelial, 1"
chr1	36560837	36590821	COL8A2	120252	609140	"Corneal dystrophy, posterior polymorphous 2"
chr6	70924764	71012786	COL9A1	120210	614134	"Stickler syndrome, type IV"
chr1	40766159	40783488	COL9A2	120260	600204	"Epiphyseal dysplasia, multiple, 2"
chr1	40766159	40783488	COL9A2	120260	603932	"Intervertebral disc disease, susceptibility to"
chr20	61447596	61472511	COL9A3	120270	600969	"Epiphyseal dysplasia, multiple, 3"
chr20	61447596	61472511	COL9A3	120270	0	"Epiphyseal dysplasia, multiple, with myopathy"
chr20	61447596	61472511	COL9A3	120270	603932	"Intervertebral disc disease, susceptibility to"
chr2	3642426	3692048	COLEC11	612502	265050	"3MC syndrome 2"
chr3	15491640	15563258	COLQ	603033	603034	"Myasthenic syndrome, congenital, 5"
chr19	18893583	18902123	COMP	600310	132400	"Epiphyseal dysplasia, multiple, 1"
chr19	18893583	18902123	COMP	600310	177170	"Pseudoachondroplasia"
chr22	19929130	19957498	COMT	116790	167870	"Panic disorder, susceptibility to"
chr22	19929130	19957498	COMT	116790	181500	"Schizophrenia, susceptibility to"
chr1	160259063	160313190	COPA	601924	616414	"Autoimmune interstitial lung, joint, and kidney disease"
chr17	30178883	30186356	COPRS	600415	277460	"Ataxia with isolated vitamin E deficiency"
chr4	84182689	84206067	COQ2	609825	607426	"Coenzyme Q10 deficiency, primary, 1"
chr4	84182689	84206067	COQ2	609825	146500	"Multiple system atrophy, susceptibility to"
chr9	131084815	131096351	COQ4	612898	616276	"Coenzyme Q10 deficiency, primary, 7"
chr14	74416629	74430373	COQ6	614647	614650	"Coenzyme Q10 deficiency, primary, 6"
chr16	57481337	57495187	COQ9	612837	614654	"Coenzyme Q10 deficiency, primary, 5"
chr4	47596015	47840123	CORIN	605236	614595	"Preeclampsia/eclampsia 5"
chr16	30194148	30200397	CORO1A	605000	615401	"Immunodeficiency 8"
chr17	13972813	14111994	COX10	602125	256000	"Leigh syndrome due to mitochondrial COX4 deficiency"
chr17	13972813	14111994	COX10	602125	220110	"Mitochondrial complex IV deficiency"
chr10	101471601	101491857	COX15	603646	615119	"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2"
chr10	101471601	101491857	COX15	603646	256000	"Leigh syndrome due to cytochrome c oxidase deficiency"
chr1	244998624	245008359	COX20	614698	220110	"Mitochondrial complex IV deficiency"
chr20	30225691	30232809	COX4I2	607976	612714	"Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis"
chr12	120875893	120878545	COX6A1	602072	616039	"Charcot-Marie-Tooth disease, recessive intermediate D"
chr19	36139125	36149763	COX6B1	124089	220110	"Mitochondrial complex IV deficiency"
chrX	77154935	77162870	COX7B	300885	300887	"Linear skin defects with multiple congenital anomalies"
chr3	148880197	148939842	CP	117700	604290	"Cerebellar ataxia"
chr3	148880197	148939842	CP	117700	604290	"Hemosiderosis, systemic, due to aceruloplasminemia"
chr3	148880197	148939842	CP	117700	604290	"Hypoceruloplasminemia, hereditary"
chr8	68334360	68658620	CPA6	609562	614417	"Epilepsy, familial temporal lobe, 5"
chr8	68334360	68658620	CPA6	609562	614418	"Febrile seizures, familial, 11"
chr10	101801950	101841634	CPN1	603103	212070	"Carboxypeptidase N deficiency"
chr3	98239976	98312567	CPOX	612732	121300	"Coproporphyria"
chr3	98239976	98312567	CPOX	612732	121300	"Harderoporphyria"
chr2	211342406	211543831	CPS1	608307	237300	"Carbamoylphosphate synthetase I deficiency"
chr2	211342406	211543831	CPS1	608307	615371	"Pulmonary hypertension, neonatal, susceptibility to"
chr2	211342406	211543831	CPS1	608307	0	"Venoocclusive disease after bone marrow transplantation"
chr11	68522088	68611878	CPT1A	600528	255120	"CPT deficiency, hepatic, type IA"
chr1	53662101	53679869	CPT2	600650	608836	"CPT II deficiency, lethal neonatal"
chr1	53662101	53679869	CPT2	600650	600649	"CPT deficiency, hepatic, type II"
chr1	53662101	53679869	CPT2	600650	614212	"Encephalopathy, acute, infection-induced, 4, susceptibility to"
chr1	53662101	53679869	CPT2	600650	255110	"Myopathy due to CPT II deficiency"
chr1	207669492	207813992	CR1	120620	607486	"Blood group, Knops system"
chr1	207669492	207813992	CR1	120620	0	"CR1 deficiency"
chr1	207669492	207813992	CR1	120620	611162	"Malaria, severe, resistance to"
chr1	207627575	207663240	CR2	120650	614699	"Immunodeficiency, common variable, 7"
chr1	207627575	207663240	CR2	120650	610927	"Systemic lupus erythematosus, susceptibility to, 9"
chr12	94071151	94288616	CRADD	603454	614499	"Mental retardation, autosomal recessive 34"
chr1	197170592	197447585	CRB1	604210	613835	"Leber congenital amaurosis 8"
chr1	197170592	197447585	CRB1	604210	172870	"Pigmented paravenous chorioretinal atrophy"
chr1	197170592	197447585	CRB1	604210	600105	"Retinitis pigmentosa-12, autosomal recessive"
chr9	126118449	126142603	CRB2	609720	616220	"Focal segmental glomerulosclerosis 9"
chr9	126118449	126142603	CRB2	609720	219730	"Ventriculomegaly with cystic kidney disease"
chr3	3190676	3221394	CRBN	609262	607417	"Mental retardation, autosomal recessive 2"
chr2	208394461	208468155	CREB1	123810	612160	"Histiocytoma, angiomatoid fibrous, somatic"
chr16	3775055	3930727	CREBBP	600140	180849	"Rubinstein-Taybi syndrome"
chr3	9975506	9987097	CRELD1	607170	606217	"Atrioventricular septal defect, partial, with heterotaxy syndrome"
chr3	9975506	9987097	CRELD1	607170	606217	"Atrioventricular septal defect, susceptibility to, 2"
chr2	46843555	46852881	CRIPT	604594	615789	"Short stature with microcephaly and distinctive facies"
chr6	49695097	49712150	CRISP3	600480	615314	"Craniosynostosis 3"
chr6	49695097	49712150	CRISP3	600593	0	"Craniosynostosis, Adelaide type"
chr19	18683030	18718551	CRLF1	604237	272430	"Cold-induced sweating syndrome 1"
chr3	33155471	33189265	CRTAP	605497	610682	"Osteogenesis imperfecta, type VII"
chr19	18794487	18893004	CRTC1	607536	0	"Mucoepidermoid salivary gland carcinoma"
chr19	48322703	48346587	CRX	602225	120970	"Cone-rod retinal dystrophy-2"
chr19	48322703	48346587	CRX	602225	613829	"Leber congenital amaurosis 7"
chr21	44589118	44592915	CRYAA	123580	604219	"Cataract 9, multiple types"
chr11	111779289	111794446	CRYAB	123590	615184	"Cardiomyopathy, dilated, 1II"
chr11	111779289	111794446	CRYAB	123590	613763	"Cataract 16, multiple types"
chr11	111779289	111794446	CRYAB	123590	608810	"Myopathy, myofibrillar, 2"
chr11	111779289	111794446	CRYAB	123590	613869	"Myopathy, myofibrillar, fatal infantile hypertrophy, alpha-B crystallin-related"
chr17	27573881	27581512	CRYBA1	123610	600881	"Cataract 10, multiple types"
chr22	27017928	27026636	CRYBA4	123631	610425	"Cataract 23"
chr22	26995242	27014052	CRYBB1	600929	611544	"Cataract 17, multiple types"
chr22	25615489	25627836	CRYBB2	123620	601547	"Cataract 3, multiple types"
chr22	25595817	25603330	CRYBB3	123630	609741	"Cataract 22, autosomal recessive"
chr2	209007297	209010892	CRYGB	123670	615188	"Cataract 39, multiple types, autosomal dominant"
chr2	208992861	208994554	CRYGC	123680	604307	"Cataract 2, multiple types"
chr2	208986331	208989225	CRYGD	123690	115700	"Cataract 4, multiple types"
chr2	208972957	208977235	CRYGEP	123680	604307	"Cataract 2, multiple types"
chr3	186256230	186264491	CRYGS	123730	116100	"Cataract 20, multiple types"
chr16	21250195	21314404	CRYM	123740	616357	"Deafness, autosomal dominant 40"
chr12	53551447	53575135	CSAD	601692	607541	"Corneal dystrophy, Avellino type"
chr12	53551447	53575135	CSAD	601692	121900	"Corneal dystrophy, Groenouw type I"
chr12	53551447	53575135	CSAD	601692	608470	"Corneal dystrophy, Reis-Bucklers type"
chr12	53551447	53575135	CSAD	601692	602082	"Corneal dystrophy, Thiel-Behnke type"
chr12	53551447	53575135	CSAD	601692	121820	"Corneal dystrophy, epithelial basement membrane"
chr12	53551447	53575135	CSAD	601692	122200	"Corneal dystrophy, lattice type I"
